Time [s],Trigger,X-Axis_PP-3 [psi],X-Axis_PP-4 [psi],Y-Axis_PP-1 [psi],Y-Axis_PP-2 [psi]
-0.000647,0.0585938,0.00457764,-0.00915527,0.00915527,0.00915527
-0.0006465,0.0570679,-0.012207,-0.0228882,0.0167847,0.00457764
-0.000646,0.0579834,-0.0152588,-0.00610352,0.0228882,0.00762939
-0.0006455,0.0585938,-0.00915527,-0.00915527,0.00762939,0.0320435
-0.000645,0.0585938,0.00152588,0,0.0320435,0.0259399
-0.0006445,0.0595093,0.00457764,-0.00152588,0.0244141,-0.00305176
-0.000644,0.0585938,0.012207,0.0106812,0.0259399,0.0167847
-0.0006435,0.0582886,0.012207,0.00305176,0.0198364,0.012207
-0.000643,0.0570679,0.00305176,-0.0198364,0.0106812,0.00915527
-0.0006425,0.0585938,0.0259399,0.012207,0.0152588,0.0320435
-0.000642,0.0585938,-0.0183105,-0.00610352,0.0259399,-0.00457764
-0.0006415,0.0598145,-0.00305176,-0.00152588,0.0305176,0.0167847
-0.000641,0.0585938,0.0167847,-0.0167847,0.0152588,0.0259399
-0.0006405,0.0582886,0.0106812,0.00457764,0.0289917,-0.00152588
-0.00064,0.0579834,-0.00305176,-0.00610352,0.0305176,0.00305176
-0.0006395,0.057373,0.0183105,0.00152588,0.0198364,0.0183105
-0.000639,0.0570679,-0.0396729,0.0106812,0.0289917,-0.00915527
-0.0006385,0.0582886,0.00305176,-0.012207,0.0152588,-0.00152588
-0.000638,0.0582886,-0.00305176,-0.00305176,0.00610352,-0.00152588
-0.0006375,0.0585938,0.0183105,0.00915527,0.0183105,0.0335693
-0.000637,0.0588989,0.0274658,-0.0198364,0.00610352,0.0167847
-0.0006365,0.0604248,0.0335693,0.00305176,0.0335693,0.0213623
-0.000636,0.0595093,0.0198364,-0.0152588,0.038147,0.012207
-0.0006355,0.0579834,-0.00457764,-0.00610352,0.00915527,-0.00152588
-0.000635,0.0570679,0.00305176,0.00152588,0.0228882,0.00152588
-0.0006345,0.0595093,-0.0137329,-0.0198364,0.00762939,0.00610352
-0.000634,0.0598145,0.0183105,-0.0213623,-0.00610352,0
-0.0006335,0.0582886,0,0,0.038147,0.012207
-0.000633,0.057373,0.0167847,0.0167847,0.0167847,0.00457764
-0.0006325,0.0582886,0.0213623,0.0244141,0.0152588,0.00152588
-0.000632,0.06073,-0.00152588,0.00457764,0.0106812,-0.00762939
-0.0006315,0.0570679,0.0183105,-0.0137329,0.00762939,-0.012207
-0.000631,0.0585938,-0.0106812,-0.0106812,0.00457764,0.0335693
-0.0006305,0.0585938,0.0152588,0.0213623,0.0213623,0.00152588
-0.00063,0.0604248,0.0274658,-0.0228882,0.0183105,-0.012207
-0.0006295,0.0616455,0.0228882,0.00610352,0.0152588,0.00152588
-0.000629,0.0592041,0.0335693,-0.012207,0.0152588,0.00762939
-0.0006285,0.06073,0.00610352,-0.0106812,0.0244141,0.0106812
-0.000628,0.0585938,-0.00457764,-0.00457764,0.0259399,0.00457764
-0.0006275,0.0598145,-0.0152588,0,0.0183105,-0.00152588
-0.000627,0.0610352,-0.0167847,-0.00915527,0.0244141,0.00915527
-0.0006265,0.0579834,-0.0167847,-0.00152588,0.0198364,0.00457764
-0.000626,0.0598145,0.0473022,-0.0152588,0.0274658,-0.00457764
-0.0006255,0.0598145,0.00610352,-0.0259399,0.0244141,-0.0244141
-0.000625,0.0570679,-0.0137329,0.00152588,0.0259399,0.00762939
-0.0006245,0.0598145,-0.00762939,0.0137329,-0.00457764,-0.012207
-0.000624,0.0619507,0.0289917,0.00610352,-0.0106812,-0.012207
-0.0006235,0.0595093,-0.00762939,0.00762939,0.00915527,-0.00610352
-0.000623,0.0585938,0.0198364,-0.0167847,0.0442505,0.0137329
-0.0006225,0.0622559,0.038147,-0.0106812,0.00610352,0.00762939
-0.000622,0.0592041,0.0335693,0.00152588,0.0396729,0.00457764
-0.0006215,0.057373,0.0183105,-0.0183105,0.0274658,-0.0152588
-0.000621,0.0570679,-0.0213623,-0.0137329,0.0198364,0.00457764
-0.0006205,0.0595093,0.00305176,0.00305176,0.00457764,0.00915527
-0.00062,0.0592041,-0.0152588,-0.038147,0.0137329,-0.0137329
-0.0006195,0.0585938,-0.00305176,0.00610352,0.0213623,-0.0106812
-0.000619,0.0613403,0.00152588,-0.00457764,0.0259399,-0.00305176
-0.0006185,0.0604248,0.012207,0.00457764,0.0579834,0.00762939
-0.000618,0.0585938,-0.00762939,-0.0137329,0.0366211,0.0137329
-0.0006175,0.057373,-0.00457764,-0.00762939,0.00305176,0.00305176
-0.000617,0.0570679,0.0244141,-0.0106812,0.0228882,0.0137329
-0.0006165,0.057373,0.0137329,0.00457764,0.0152588,0.00915527
-0.000616,0.0622559,0.0106812,-0.012207,0.0335693,0.0152588
